SPASE URL,DOI
https://spase-metadata.org/ESA/NumericalData/SOHO/CELIAS/KP/PT5M,10.48322/n40y-m550
https://spase-metadata.org/ESA/NumericalData/SOHO/ERNE/HeavyIon/CDF/PT1H,10.48322/js86-0v08
https://spase-metadata.org/ESA/NumericalData/SOHO/ERNE/HeavyIon/CDF/PT5M,10.48322/2md9-8h18
https://spase-metadata.org/ESA/NumericalData/SOHO/ERNE/HED/CDF/PT1M,10.48322/78x1-m644
https://spase-metadata.org/ESA/NumericalData/SOHO/ERNE/KP/PT128S,10.48322/byv5-gp28
https://spase-metadata.org/ESA/NumericalData/SOHO/ERNE/LED/CDF/PT1M,10.48322/0cna-yt27
https://spase-metadata.org/ESA/NumericalData/SOHO/VIRGO/DIARAD/PT3M,10.48322/as9r-3j38
https://spase-metadata.org/ESA/NumericalData/SOHO/VIRGO/DIARAD_PMO6V/MissionLong/P1D,10.48322/ek1b-0149
https://spase-metadata.org/ESA/NumericalData/SOHO/VIRGO/DIARAD_PMO6V/MissionLong/PT1H,10.48322/fdrt-2v63
https://spase-metadata.org/ESA/NumericalData/SOHO/VIRGO/DIARAD_PMO6V/MissionLong/PT1M,10.48322/2934-4m85
https://spase-metadata.org/ESA/NumericalData/SOHO/VIRGO/LOI/MissionLong/PT60S,10.48322/g25m-4005
https://spase-metadata.org/ESA/NumericalData/SOHO/VIRGO/LOI/PT60S,10.48322/bss7-df92
https://spase-metadata.org/ESA/NumericalData/SOHO/VIRGO/SPM/BLUE/MissionLong/PT60S,10.48322/cq2c-s758
https://spase-metadata.org/ESA/NumericalData/SOHO/VIRGO/SPM/GREEN/MissionLong/PT60S,10.48322/sxh2-fv60
https://spase-metadata.org/ESA/NumericalData/SOHO/VIRGO/SPM/PT60S,10.48322/eyn6-et31
https://spase-metadata.org/ESA/NumericalData/SOHO/VIRGO/SPM/RED/MissionLong/PT60S,10.48322/bn4w-j431
https://spase-metadata.org/ESA-NASA/NumericalData/Cluster/C2/WBD/BM2/VariableCadence,10.48322/9v91-9e54
https://spase-metadata.org/ESA-NASA/NumericalData/Cluster/C3/WBD/BM2/VariableCadence,10.48322/0y7c-5713
https://spase-metadata.org/ESA-NASA/NumericalData/Cluster/C4/WBD/BM2/VariableCadence,10.48322/bdyk-1b89
https://spase-metadata.org/GBO/NumericalData/FMI/Magnetometer/PT10S,10.48322/29rq-g929
https://spase-metadata.org/GBO/NumericalData/FMI/Magnetometer/PT1S,10.48322/5q23-ts63
https://spase-metadata.org/GBO/NumericalData/FMI/Magnetometer/PT60S,10.48322/9r3x-m151
https://spase-metadata.org/GBO/NumericalData/Kiruna/Magnetometer/PT1M/ASCII_IAGA2002_FORMAT,10.48322/7xsf-ze79
https://spase-metadata.org/GBO/NumericalData/Kiruna/Magnetometer/PT1S/ASCII_IAGA2002_FORMAT,10.48322/zeps-0f35
https://spase-metadata.org/GBO/NumericalData/MACCS/MAG/PT0.5S,10.48322/sydj-ab90
https://spase-metadata.org/GBO/NumericalData/MACCS/MAG/PT5.0S,10.48322/t37w-as51
https://spase-metadata.org/GBO/NumericalData/NAE/Magnetometer/PT60S,10.21978/p8m33j
https://spase-metadata.org/GBO/NumericalData/SAE/Magnetometer/PT60S,10.21978/p8534w
https://spase-metadata.org/GBO/NumericalData/SECS/Magnetometer/EICS/PT10S,10.21978/p8d62b
https://spase-metadata.org/GBO/NumericalData/SECS/Magnetometer/SECS/PT10S,10.21978/p8pp8x
https://spase-metadata.org/ISWI/DisplayData/Callisto/FAS/PT15M,10.48322/wy0b-tq35
https://spase-metadata.org/ISWI/NumericalData/AWESOME/LF/PT0.000001S,10.48322/fwte-dv13
https://spase-metadata.org/ISWI/NumericalData/AWESOME/VLF/PT0.00001S,10.48322/fzcf-f191
https://spase-metadata.org/ISWI/NumericalData/AWESOME/VLF/PT0.02S,10.48322/6t7b-s324
https://spase-metadata.org/ISWI/NumericalData/Callisto/FAS/PT0.25S,10.48322/pmwd-mk15
https://spase-metadata.org/ISWI/NumericalData/SipleExperiment/VLF/PT0.00004S,10.48322/44y4-4j02
https://spase-metadata.org/NASA/DisplayData/ACE/MAG/27-Day,10.48322/x2jh-0q34
https://spase-metadata.org/NASA/DisplayData/ACE/MAG/Daily,10.48322/54tt-bp06
https://spase-metadata.org/NASA/DisplayData/ACE/SWEPAM/PLOTS,10.48322/m9y5-3f48
